desktop_name,price,discount
DELL Pc  Optiplex 7020  Core I5 -12500- 8GB - 512GB SSD,"EGP 22,222.00",5%
Apple IMac 24 M1 512GB Silver ( Arabic + English ),"EGP 88,000.00",8%
Apple IMac 24 M1 512GB  Green ( Arabic + English ),"EGP 88,000.00",8%
"HP PC Pro Tower 290 G9 Desktop Intel Core I5-13500, 8GB, 512GB SSD - Intel UHD 770","EGP 23,555.00",4%
"DELL OptiPlex 3000 Tower PC (Intel Core I5-12500, 4GB RAM, 256GB M.2 SSD, Intel UHD Graphics, Keyboard + Mouse)","EGP 30,000.00",3%
DELL Pc  Optiplex 7020 PLUS Ci7 - 14700- 8GB - 512GB SSD,"EGP 35,570.00",5%
DELL OptiPlex Tower 7020 Core i7 14700 8GB RAM 512GB SSD DOS,"EGP 35,950.00",8%
Apple IMac 24'' M1 8C CPU/8C GPU/ 8GB/ 256GB/ Pink/ AR,"EGP 74,955.00",4%
Apple IMac 24'' M1 8C CPU 8C GPU - 8GB- 512GB -Pink Arabic Keyboard,"EGP 88,000.00",2%
"Lenovo IdeaCentre All-in-one 3-24IAP7-F0GH00YAAX, Intel Core I3-1215u, 4GB RAM, 256GB SSD, 23.8 Inch FHD-IPS-250nits-Non-Touch , Intel UHD Graphics, Wireless KB + Mouse","EGP 24,828.00",1%
"HP PC All-In-One 24-cr0307nh Desktop Computer, 23.8"" FHD IPS Display, Intel Core I5-1334U, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, USB Wired Keyboard & Mouse, FreeDOS, White","EGP 40,740.00",1%
"HP PC 27-CR0155nh All-in-One : Intel Core I7-1355U, 8GB, 512GB, 27"" Touch -FHD- 300 Nits -3 Sided Micro-edge - Black","EGP 54,699.00",5%
DELL Pc  Optiplex 7020  Core I5 -12500- 8GB - 512GB SSD,"EGP 22,222.00",8%
Apple IMac 24 M1 512GB Silver ( Arabic + English ),"EGP 88,000.00",8%
Apple IMac 24 M1 512GB  Green ( Arabic + English ),"EGP 88,000.00",4%
"HP PC Pro Tower 290 G9 Desktop Intel Core I5-13500, 8GB, 512GB SSD - Intel UHD 770","EGP 23,555.00",3%
"DELL OptiPlex 3000 Tower PC (Intel Core I5-12500, 4GB RAM, 256GB M.2 SSD, Intel UHD Graphics, Keyboard + Mouse)","EGP 30,000.00",5%
DELL Pc  Optiplex 7020 PLUS Ci7 - 14700- 8GB - 512GB SSD,"EGP 35,570.00",8%
DELL OptiPlex Tower 7020 Core i7 14700 8GB RAM 512GB SSD DOS,"EGP 35,950.00",4%
Apple IMac 24'' M1 8C CPU/8C GPU/ 8GB/ 256GB/ Pink/ AR,"EGP 74,955.00",2%
Apple IMac 24'' M1 8C CPU 8C GPU - 8GB- 512GB -Pink Arabic Keyboard,"EGP 88,000.00",1%
"Lenovo IdeaCentre All-in-one 3-24IAP7-F0GH00YAAX, Intel Core I3-1215u, 4GB RAM, 256GB SSD, 23.8 Inch FHD-IPS-250nits-Non-Touch , Intel UHD Graphics, Wireless KB + Mouse","EGP 24,828.00",1%
"HP PC All-In-One 24-cr0307nh Desktop Computer, 23.8"" FHD IPS Display, Intel Core I5-1334U, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, USB Wired Keyboard & Mouse, FreeDOS, White","EGP 40,740.00",5%
"HP PC 27-CR0155nh All-in-One : Intel Core I7-1355U, 8GB, 512GB, 27"" Touch -FHD- 300 Nits -3 Sided Micro-edge - Black","EGP 54,699.00",8%
